title,category,brand,price,rating,review_summary,availability,image_url,product_link
4/5 Pack Mens Polo Shirts Short Sleeve Quick Dry Moisture Wicking Casual Golf T Shirts for Men,Men,MLYENX Store,39.9926,4.6,"Customers find the shirts comfortable and well-fitting. They appreciate the soft, smooth material that feels very smooth and keeps them cool during hot summer days. The shirts have a nice look and are easy to match with slacks. Many customers consider the shirts to be of good quality for the price, with solid stitching and no pilling or fraying. They also like the sturdiness, lightweight construction, and breathability of the fabric.",In Stock,https://m.media-amazon.com/images/I/41yUF65PmbL.jpg,https://www.amazon.com/dp/B0B59BJG6Y
COOFANDY Men's Polo Shirts Short Sleeve Moisture Wicking Golf Shirt Fashion Casual Collared T-Shirt,Men,COOFANDY Store,19.992,4.4,No reviews yet,In Stock,https://m.media-amazon.com/images/I/31a3mSs3paL.jpg,https://www.amazon.com/dp/B0DLGB4RYH
ZITY 3 Pack Men Polo Shirts Short Sleeve with Pocket Sport Wicking Shirts for Men Casual Athletic Collared T-Shirts,Men,ZITY Store,29.995,4.6,No reviews yet,In Stock,https://m.media-amazon.com/images/I/41J5q-Ua0KL.jpg,https://www.amazon.com/dp/B0DRXF62JH
Rouen Mens Golf Shirt Moisture Wicking Dry Fit Performance Stripe Casual Collared Short Sleeve Golf Polo Shirts for Men,Men,Rouen Store,32.95,4.8,No reviews yet,In Stock,https://m.media-amazon.com/images/I/31J1ttvfybL.jpg,https://www.amazon.com/dp/B0DK5FZ325
V VALANCH Mens Polo Shirts Short Sleeve Moisture Wicking Golf Polo Athletic Collared Shirt Tennis T-Shirt Tops,Men,V VALANCH Store,26.9931,4.4,"Customers find the shirt has a good fit and looks great. They appreciate the comfortable, lightweight, and breathable material. Many of them find it a great value for money, with decent quality for the price. While most customers are satisfied with the quality, some have different opinions on the material quality.",In Stock,https://m.media-amazon.com/images/I/31Ff+3IbUCL.jpg,https://www.amazon.com/dp/B0BGXTC1FR
"POLO RALPH LAUREN Men's Slim Fit Cotton Crew Undershirts, 3 Pack",Men,POLO Store,49.5,4.6,"Customers appreciate the shirt's fit, quality, comfort, and style. They find it true to size, durable, and soft. Many mention that the size small works for tall skinny guys. However, opinions vary on value for money, material thickness, shrinkage, and smell.",In Stock,https://m.media-amazon.com/images/I/21+XaygRfPL.jpg,https://www.amazon.com/dp/B07FMX9FSF
"POLO RALPH LAUREN Men's Classic Fit Cotton Crew Undershirts, 3 Pack",Men,POLO RALPH LAUREN Store,49.5,4.5,"Customers find the shirts comfortable and well-fitting. They like the length and find the fabric soft and breathable, making them great for sensitive skin. Many consider the shirts good value for the price. However, some customers have mixed opinions on quality, shrinkage, washability, and sizing.",In Stock,https://m.media-amazon.com/images/I/21RAf-kCcCL.jpg,https://www.amazon.com/dp/B07FMYL9NR
TELALEO 4/5 Pack Mens Polo Shirts Quick Dry Short Sleeve Golf T Shirt Performance Moisture Wicking Casual Workout,Men,TELALEO Store,42.997,4.5,"Customers find the shirts fit well, with a perfect length and breathable material. They appreciate the soft, lightweight fabric that feels good during hot days. The shirts are durable, providing cooling without overheating. Customers find them a decent look for work or semi-casual dress. Overall, customers consider the shirts a great value for the money.",In Stock,https://m.media-amazon.com/images/I/41Y0ODeUo4L.jpg,https://www.amazon.com/dp/B0BGSDG377
"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",Men,POLO Store,49.5,4.5,"Customers appreciate the comfort, quality, and value of the shirts. They find the shirts soft, breathable, and great for everyday wear. Some customers like the weight. However, opinions differ on the fit, quality, material thickness, and shrinkage.",In Stock,https://m.media-amazon.com/images/I/21I4DJY-R-L.jpg,https://www.amazon.com/dp/B07FMZ31SR
OYGSieg 6 Pack Mens Polo Shirts Performance Short Sleeve Golf Shirt Moisture Wicking Athletic Casual Collared T-Shirt,Men,OYGSieg Store,48.99,4.5,"Customers appreciate the shirts' fit, comfort, and material quality. They find the shirts to be well-made with a smooth, thin material that feels comfortable to wear. The colors are attractive and wash up nicely. Many customers consider these shirts a good value for the price.",In Stock,https://m.media-amazon.com/images/I/41tX0+blTkL.jpg,https://www.amazon.com/dp/B0CXDL2NP6
